Response ID,Age,Gender,Level_of_English,Play_video_games,Use_VR_apps_with_whd,Rate_your_sensation_of_self_motion,Rate_your_sensation_of_movement,Rate_how_fast_you_think_you_are_moving,Rate_how_fast_you_are_moving,Rate_your_speed,Rate_how_fast_you_are_going,Rate_how_fast_the_train_is_moving,Rate_the_speed_of_the_train,Rate_the_velocity_of_the_train,Rate_how_intense_your_sensation_of_motion_is,Rate_how_strong_is_your_sensation_of_self_motion,Rate_the_intensity_of_your_perception_of_self_motion,Rate_the_intensity_of_your_sensation_of_self_motion_in_the_virtual_environment,Rate_your_perception_of_speed,Rate_your_perceived_motion,Rate_your_perception_of_self_motion,Rate_your_perceived _movement,Group_1,Group_2,Group_3,Group_4,Group_5,Group_6,Group_7,Group_8,Group_9,Group_10
1,25 â€“ 34 years old,Male,C2 - Proficient / Mother tongue,More than 3 times a week,Never,4,4,2,3,3,3,1,1,1,4,4,2,4,5,2,2,2,"""This group has to do with the speed of the train.""",This group has to do with what you think about your own speed.,This group has to do with what your own speed actually is.,This group has to do with how your motion makes you feel.,"This group has to do with your understanding of motion overall, irrespective of what, in particular, is moving.",,,,,
2,35 â€“ 44 years old,Male,C2 - Proficient / Mother tongue,More than 3 times a week,Never,3,3,2,1,1,1,1,1,1,3,3,2,3,2,2,2,2,"""contains items relating to speed of movement""",contains items relating to perception of movement,contains items relating to how it feels to be moving,,,,,,,
3,35 â€“ 44 years old,Female,C2 - Proficient / Mother tongue,More than 3 times a week,Never,2,2,3,1,1,1,1,1,1,2,2,3,2,3,3,3,3,"""All involve speed and velocity, most simple questions""","All involve sensation, how the video makes you feel","All involve perception, how your mind is analyzing all factors (rate of tracks passing, rate of walls passing, end of tunnel not getting closer, etc)",,,,,,,
4,25 â€“ 34 years old,Male,C2 - Proficient / Mother tongue,Less than 3 times a week,Never,5,5,2,2,2,2,2,2,2,3,3,3,3,4,1,1,1,"""This is about how you perceive your perception of movement""","The train and I are one, this is about how fast we are moving ",This group is about the intensity of feeling ,A mix between group 1 and 2 but doesn't fit in either,This is about what movement you're actually feeling,,,,,
5,35 â€“ 44 years old,Female,C2 - Proficient / Mother tongue,More than 3 times a week,Never,2,2,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,"""These instructions are based on the assumption that you felt a realistic sense of motion and they are asking you to rate the speed of that movement the same way you would in a real world scenario.""",These instructions are ambivalent. It is unclear if the intended answer is a speed (Group 1) or an indication of how immersive your sensation of movement was (Group 3).,"These items ask you to rate your sensation, i.e. whether your sensations were realistic or intense.",,,,,,,
6,25 â€“ 34 years old,Male,C1 (95-120),More than 3 times a week,Once a month,3,3,2,2,2,2,1,1,1,3,3,3,3,3,3,3,3,"""It's about rating a physical property of an Object in a virtual space""",It's about rating a physical property of yourself in a virtual space,It's about your perception itself in a virtual space,,,,,,,
7,25 – 34 years old,Female,B2 (72-94),More than 3 times a week,Once a month,1,3,3,3,3,3,2,2,2,4,4,3,1,3,1,1,1,"""More about feeling/perception of the whole environment."" ",The subject is train - more about the speed of the train itself,"The subject is myself - not only about the speed of the train, also includes myself's feeling of the train and whole environment",more about the feeling of motion intensity instead of speed,,,,,,
8,55 – 64 years old,Female,C2 - Proficient / Mother tongue,Never,Never,4,4,2,1,1,1,3,3,3,4,4,4,4,2,4,4,4,"""These sentences are all about my own speed""",These senstences are all about my perception of my own speed,These sentences are all about the speed of the train,These sentences are all about my perception of my own motion,,,,,,
9,25 – 34 years old,Female,C2 - Proficient / Mother tongue,Never,Never,3,3,2,1,1,1,1,1,1,4,4,4,4,2,2,2,2,"""I grouped them based on actual speed of the self (3 sentences) and the vehicle (3 sentences). I considered actual speed as the main category here, then considered two sub categories as the actual speed of the self and the vehicle.""","These sentences belong to the category 'perception'. Each sentence refers to perceived movement or motion, as opposed to actual motion.","I grouped these two sentences together as they both refer to sensation, rather than perception or actual movement",I grouped these sentences together based on intensity. Each of them refer to intensity in terms of either sensation or perception.,,,,,,
10,18 – 24 years old,Male,C1 (95-120),More than 3 times a week,Never,3,3,3,2,2,2,1,1,1,3,3,3,3,3,3,3,3,"""The first group refers to all the sentences relative to the actual speed of the train""",This group refers to all the sentences relative to your actual speed,This group refers to how you perceive the movement of both yourself and the train,,,,,,,
11,18 – 24 years old,Female,C2 - Proficient / Mother tongue,Never,Never,2,3,1,1,1,1,4,4,4,2,2,2,2,1,2,2,3,"""All about personal speed.""",All about personal motion.,All about movement.,All about the trains movement.,,,,,,
12,45 – 54 years old,Male,C1 (95-120),Never,Never,3,3,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,"""The quantity of the ""fastness"".""",The specific feature of grade or level of intensity of sensation or perception.,"The broader question of rating in whatever the user wants to rate with the quality of a sensation or a perception of a phenomenon (could be realistic, intense, fun, boring, etc., whatever is in the mind of the interpreter of the question)",,,,,,,
13,18 – 24 years old,Female,C2 - Proficient / Mother tongue,More than 3 times a week,Never,5,5,1,1,1,1,3,3,3,4,4,4,4,2,2,2,2,"""it is about you moving""",it is about you feeling the speed,it is about the train moving,it is about how strong your feeling of speed is,it is about your sensation,,,,,
14,45 – 54 years old,Male,C2 - Proficient / Mother tongue,Less than 3 times a week,Never,2,2,2,1,1,1,1,1,1,2,2,2,3,2,2,2,2,"""Actual movement""",Perception of...,In virtual environment ,,,,,,,
15,18 – 24 years old,Male,C2 - Proficient / Mother tongue,More than 3 times a week,Never,3,3,2,1,1,1,1,1,1,3,3,3,3,2,2,2,2,"""These sentences would refer to concrete facts. The speed and velocity are measurable.""",These sentences refer to what you think about your speed... Perception doesn't mean you're right,These refer to physical feelings,,,,,,,
16,35 – 44 years old,Male,C2 - Proficient / Mother tongue,More than 3 times a week,Once a week,1,1,3,2,2,2,2,2,2,3,3,3,3,1,1,1,1,"""Perceived motion""",Absolute speeed,subjective speed,,,,,,,
17,45 – 54 years old,Female,C2 - Proficient / Mother tongue,Never,Never,4,2,4,5,5,5,3,3,3,2,1,1,6,5,2,2,4,"""Personal perception of motion""",Think I should have grouped self motion and self movement into two categories,Regarding the train,Personal movement,Speed,Only question regarding virtual environment,,,,
18,25 – 34 years old,Male,C2 - Proficient / Mother tongue,,Never,5,5,2,2,2,2,2,2,2,1,1,1,1,3,4,4,4,"""describes intensity, or quantity of sensory information""",describes one's estimate of the objective speed,describes how the speed feels,describes the extent to which one believes themselves to be moving,describes the feeling of movement,,,,,
19,75+ years old,Female,C2 - Proficient / Mother tongue,Less than 3 times a week,Once a month,2,2,3,3,3,3,4,4,4,1,1,1,1,5,5,5,5,"""Decision-making about physical strength (intensity) of sensation or perception""",Decision making about Sensation but not given value scale,Decision making about my speed,Decision making about train speed,Decision making about my perception of speed,,,,,
20,18 – 24 years old,Female,C2 - Proficient / Mother tongue,Less than 3 times a week,Never,2,4,4,3,3,3,3,3,3,1,1,1,1,4,2,2,4,"""its rating the objective intensity of the motion""",its rating the subjective sense of motion,its asking you to be objective about the speed,asking you be to be subjective about the speed,,,,,,
21,35 – 44 years old,Male,C2 - Proficient / Mother tongue,Less than 3 times a week,Never,3,3,1,2,2,2,2,2,2,3,3,1,3,1,1,1,1,"""Perception of movement""",Actual movement,Sensation of movement,,,,,,,
22,65 – 74 years old,Male,C2 - Proficient / Mother tongue,Never,Never,5,3,2,2,2,2,1,1,1,4,4,4,4,3,5,3,5,"""To do with the speed of the train""",How fast you perceive you are moving,Ambiguous - about the quality of the perception?,About the intensity of the perception,Similar to Group 3 - rating what?  Your perception of movement? Ambiguous,,,,,
23,45 – 54 years old,Female,C2 - Proficient / Mother tongue,Never,Never,5,5,3,1,1,1,2,2,2,4,4,4,4,3,5,5,5,"""quasi-objective measure of speed i am travelling""",measure of the train's speed,perception of one's own speed ,perpception of intensity,"perception of own movement, not limited to speed",,,,,
24,25 – 34 years old,Female,B2 (72-94),Less than 3 times a week,Never,2,2,2,2,2,2,1,1,1,2,2,3,3,3,3,3,3,"""It is related to the train"" ",It is related to our sensation and movement,It is related to perception,,,,,,,
25,35 – 44 years old,Male,B2 (72-94),Never,Never,1,1,1,3,3,3,2,2,2,1,1,1,1,1,1,1,1,"""they refer to perception/sensation of movement. It's the subjective perception of something happening external to me.""",they refer to the objective movement of the train.,they refer to the movement of the subject- me as something objectively measurable,,,,,,,
26,25 – 34 years old,Male,C2 - Proficient / Mother tongue,Never,Once a month,2,2,1,1,1,1,3,3,3,4,2,4,4,3,2,2,2,"""Here I am being asked to estimate how fast I am going, which is my estimation of some objective fact""","Here I am being asked to talk about my feeling of movement/motion, which is subjective and internal","Here I am being asked about the movement of something other than me - i.e THE train, THE speed/velocity, which is separate to me",Here I am being asked about how intense the feeing of movement is,,,,,,
27,18 – 24 years old,Female,C2 - Proficient / Mother tongue,Less than 3 times a week,Once a month,4,5,2,2,2,2,1,1,1,4,4,4,6,3,5,2,3,"""Contains sentences that refer to how a person perceives the movement of the train""",Contains sentences that refer to how a person perceives their own movement,General sentences related to perceiving motion,Sentences that relate to how a person senses their own motion,General sentences relating to how a person senses motion,Sentences that relate to motion in a virtual environment,,,,
28,18 – 24 years old,Female,C2 - Proficient / Mother tongue,Never,Never,4,2,2,3,3,3,1,1,1,4,4,4,5,2,5,2,3,"""The speed of the train""",How fast I think I'm going,The speed which I'm actually at,Self motion,-,,,,,
29,18 – 24 years old,Female,C2 - Proficient / Mother tongue,Never,Never,4,4,1,3,3,3,3,3,3,2,2,2,2,1,1,4,1,"""Measuring perceived speed and movement""","Measuring intensity of the perceived feeling around movement, not necessarily speed",Measuring the actual speed rather than perceived speed,Measuring the sensation of the movement rather than just speed,,,,,,
30,18 – 24 years old,Male,C1 (95-120),Never,Never,1,1,1,2,2,2,2,2,2,3,3,3,3,1,4,1,4,"""Here I am rating my hability to assess the movement that is occurring""",Here I am rating the actual movement,"Here I am rating the (spontaneous, but nonetheless) effort with which I assessed that movement",Here I am rating the movement I thought to be occurring,,,,,,
31,25 – 34 years old,Male,C2 - Proficient / Mother tongue,More than 3 times a week,Once a week,3,3,2,2,2,2,1,1,1,3,3,2,3,2,2,2,2,"""Related to my feelings of the train, rather than myself""","This felt like a cognitive assessment for my movement, like, ""hmm 45mph""","This felt more like a subjective assessment for my movement, like ""really fast"", and also not just speed, but also different feelings related to movement: e.g. smoothness, jitter",,,,,,,
32,35 – 44 years old,Female,C2 - Proficient / Mother tongue,Never,Never,3,5,6,4,4,4,1,1,1,2,2,2,2,6,5,3,5,"""quality of the speed of the train""",level of the intensity of felt motion ,quality of the sensation of oneself moving,"level of speed (but as opposed to Group 6 it is ambiguous, leaving open the option that speed is zero because nothing is in actual fact moving)","quality of the sensation of movement in more general terms than Group 3, i.e. can be self or just train as an object",level of imagined speed,,,,
33,25 – 34 years old,Female,C1 (95-120),Never,Never,3,1,4,4,4,4,2,2,2,3,3,5,5,4,1,3,1,"""All sentences refer to the perception of self-motion""",All sentences refer to the speed of the train,All senteces refer to what extent do you perceive self-motion,All sentences refer to your own speed,Similar ro group 3,,,,,
34,25 – 34 years old,Male,C1 (95-120),Less than 3 times a week,Never,3,3,1,1,1,1,1,1,3,2,2,1,1,3,3,2,2,"""refers to the object moving (but I went with instinct)""",refers to your sensation relative to the object you are in (but I went with instinct),sensing give sense of direction ie perception(but I went with instinct),,,,,,,
35,45 – 54 years old,Female,C2 - Proficient / Mother tongue,Never,Never,3,5,2,4,4,4,1,1,1,5,3,7,3,6,2,6,2,"""Asking what speed the train is going""",Asking what speed you THINK you're going (personal to your own perspective),Asking how much you are feeling i.e. Are you sensing the train movement in your own body?,Same as 1 but less specific - In this case we assume you mean the speed of the train but it's not 100% clear,Same as 3 but more general to sensing movement of train.,Rating your own perception within this situation,Rating the intensity of your own perception (it's a bit confusing as a question),,,
36,18 – 24 years old,Female,C2 - Proficient / Mother tongue,Less than 3 times a week,Never,3,3,1,1,2,1,1,2,4,3,3,5,5,5,5,5,5,"""They all included the word fast and seems to be based on personal judgement""","Included the word speed, so I thought they may require a number answer",All seemed focused on the sensation and reality of movement when using a headset,Velocity is a weird word to use,,,,,,
37,18 – 24 years old,Female,C2 - Proficient / Mother tongue,Never,Never,1,1,3,3,3,3,2,2,2,1,1,1,1,3,3,3,3,"""grouping together sensation related questions together""",grouping the movement of the train,grouping my perceptions and personal views together,,,,,,,
38,25 – 34 years old,Female,B2 (72-94),Never,Never,3,1,6,2,6,2,9,4,9,5,3,8,10,7,5,8,1,"""sensation = perceived""",moving = going,your sensation = how strong is your sensation,,,,,,,
39,25 – 34 years old,Female,C2 - Proficient / Mother tongue,Never,Never,1,1,2,2,2,2,2,2,2,1,1,3,1,3,3,3,3,"""This group relates to sensation, which I think is subtly different from perception. For me these all ask me to rate how much it 'feels' as though I'm moving- the intensity of that sensation, rather than the speed itself.""","This group all suggest I should rate how fast I'm going, i.e. more objectively guess at the speed of the train rather than what it feels like or how I perceive it. ","Group 3 all relate to perception,  how fast I 'think' I'm going. This is confusing though, how can I 'rate' my own perception? It sounds as though I'm being asked to judge the. accuracy of my own thoughts. ",,,,,,,
40,25 – 34 years old,Male,C1 (95-120),Less than 3 times a week,Never,3,3,2,2,1,2,1,1,1,3,3,2,3,2,3,2,3,"""Train only""",Personal,Combination,,,,,,,
41,25 – 34 years old,Female,C2 - Proficient / Mother tongue,Less than 3 times a week,Never,4,4,1,2,2,2,3,3,3,4,4,1,4,1,1,1,1,"""These sentences describe a command to subjectively evaluate how fast you are going. All sentences ask you how fast you are going, from your subjective perspective.""","These sentences all ask how fast ""you"" are moving, rather than how fast the ""train"" is moving. They are all simple questions that ask for on objective evaluation of how fast ""you"" are moving. ","These sentences are similar to those in Group 2, but they ask how fast the train is moving instead of how fast you are moving. They all ask for an objective evaluation of the train's movements, but not ""your"" movements. ","These sentences all ask about the phenomenological aspects of moving - how do you ""feel"" it, and what it is like to move, rather than asking for objective measures of how fast you or the train got from A to B. This is different from Group 1, which asks how you subjectively measure moving from A to B, whereas this group is asking about what it feels to be moving from A to B. ",,,,,,
42,55 – 64 years old,Male,C2 - Proficient / Mother tongue,Never,Never,6,2,5,4,4,4,3,3,3,2,6,5,6,1,1,5,5,"""perceived speed of train  (acknowledges subjectivity)""",sensation,estimate of tain's speed (attempt at objectivity),estimate of own motion  (attempt at objectivity),perceived own motion (acknowledges subjectivity),sensation,,,,
43,35 – 44 years old,Male,C2 - Proficient / Mother tongue,More than 3 times a week,Never,5,7,6,6,1,6,3,3,3,4,5,5,2,1,4,5,7,"""The question is about speed either mine or a generic perception (not contextualised)""",this involves VR so it is very specific about the environment,here you are interested in the train motion,"here you ask about motion (generic) and referred to me, so I understand you ask about my motion","you ask about self-motion here, which is a specific type of perception (optical flow). This may be confusing to many.","this sounds similar to gr. 3 but it refers to my speed. I would understanding better if it was ""was"" rather than ""are"". And it would make more sense if referred to the train, rather than me. Because I was not moving.",Here you ask about movement which is generic and not contextualised.,,,
44,45 – 54 years old,Male,C2 - Proficient / Mother tongue,More than 3 times a week,Once a week,2,2,3,3,3,3,1,1,1,2,2,2,2,3,2,2,2,"""These sentences are about how fast the observer thinks the train is moving.""","These sentences are about the extent to which the observer feels like he himself is moving, or the strength of this feeling.",These sentences are about judging the speed of egocentric movement.,,,,,,,
45,25 – 34 years old,Female,C2 - Proficient / Mother tongue,Less than 3 times a week,Never,4,3,2,5,10,5,1,1,9,6,3,4,6,2,8,4,7,"""Quantifies the speed of the train""",Personal reflection of own movement and speed ,Rating sensation ,,,,,,,
46,18 – 24 years old,Male,C2 - Proficient / Mother tongue,More than 3 times a week,Once a month,2,2,2,1,1,1,3,3,3,2,2,2,2,2,2,2,2,"""Asked to rate how fast I was moving, at least from the point of view shown in the video""","Rate my senses, how well I perceived and how strong the sensation was, not how fast I thought I was moving like the previous group.",asked to rate how fats the train is moving from the perspective shown by the video,,,,,,,
47,25 – 34 years old,Male,C2 - Proficient / Mother tongue,More than 3 times a week,Never,2,2,2,1,1,1,1,1,1,2,2,2,4,3,3,2,3,"""Imaginary movement of the imaginary me and imaginary train which are the same""",It is about my feeling of motion,Another person's perception of my motion,My feelings with the consciousness that it is a VR environment,,,,,,
48,18 – 24 years old,Female,C2 - Proficient / Mother tongue,More than 3 times a week,Never,4,4,2,2,2,2,2,1,1,4,4,3,4,3,3,3,3,"""rating the train, describing the train only""",rating myself,rating my perception,rating my sensation,,,,,,
